Number of clusters: 64
Cluster 1 : [airport]
Cluster 2 : [Astronomical]
Cluster 3 : [AustralianPostCode]
Cluster 4 : [barcode]
Cluster 5 : [bep]
Cluster 6 : [BibleWebservice]
Cluster 7 : [braille]
Cluster 8 : [cashflow]
Cluster 9 : [ConverPower]
Cluster 10 : [ConvertAcceleration]
Cluster 11 : [ConvertAngle]
Cluster 12 : [ConvertArea]
Cluster 13 : [ConvertComputer]
Cluster 14 : [ConvertCooking]
Cluster 15 : [ConvertDensity]
Cluster 16 : [ConvertEnergy]
Cluster 17 : [ConvertForec]
Cluster 18 : [convertFrequency]
Cluster 19 : [convertMetricWeight]
Cluster 20 : [ConvertSpeed]
Cluster 21 : [ConvertTemperature]
Cluster 22 : [ConvertTorque]
Cluster 23 : [convertVolume]
Cluster 24 : [ConvertWeight]
Cluster 25 : [country]
Cluster 26 : [CovertPressure]
Cluster 27 : [CreditCard]
Cluster 28 : [CurrencyConvertor]
Cluster 29 : [EmblNucleotideSequenceWebService]
Cluster 30 : [fax]
Cluster 31 : [FedAch]
Cluster 32 : [FedWire]
Cluster 33 : [FinanceService]
Cluster 34 : [genericbarcode]
Cluster 35 : [GenericNAICS, Naics]
Cluster 36 : [GenericUNSPSC]
Cluster 37 : [geoipservice]
Cluster 38 : [globalweather]
Cluster 39 : [hcpcs]
Cluster 40 : [icd10, icd9toicd10, icd9]
Cluster 42 : [icd9drug]
Cluster 44 : [isbn]
Cluster 45 : [length]
Cluster 46 : [LondonGoldFix]
Cluster 47 : [medicareSupplier]
Cluster 48 : [mortgage]
Cluster 49 : [MortgageIndex]
Cluster 51 : [Ofacsdn]
Cluster 52 : [periodictable]
Cluster 53 : [pricing]
Cluster 54 : [RealTimeMarketData]
Cluster 55 : [SendSms, SendSmsWorld]
Cluster 57 : [Statistics]
Cluster 58 : [StockQuote]
Cluster 59 : [SunsetRiseService]
Cluster 60 : [TranslateService]
Cluster 61 : [UddiBusinessFinder]
Cluster 62 : [UkLocation]
Cluster 63 : [UsAddressVerification]
Cluster 64 : [UsWeather]
Cluster 65 : [UsZip]
Cluster 66 : [ValidateEmail]
Cluster 67 : [WeatherForecast]
Cluster 68 : [whois]
